Token,Cluster,Frequence,Type
(,128,2,STATIC
isReachable=2,128,2,STATIC
),128,2,STATIC
[,1,17,STATIC
HID,1,8,STATIC
],1,17,STATIC
ATC,1,8,STATIC
AppleDeviceManagementHIDEventService,1,8,STATIC
:,1,17,STATIC
:processWakeReason,1,8,STATIC
Wake,1,8,STATIC
reason,1,8,STATIC
Host,1,8,STATIC
(,1,8,STATIC
0x01,1,8,STATIC
),1,8,STATIC
en0,146,3,STATIC
:,146,9,STATIC
BSSID,146,3,STATIC
changed,146,3,STATIC
to,146,3,STATIC
5c:50:15:36,146,3,STATIC
bc:03,146,3,STATIC
15759,60,1,VARIABLE
<,129,4,STATIC
*,129,4,STATIC
>,129,4,STATIC
:,129,18,STATIC
scheduler_evaluate_activity,129,4,STATIC
told,129,4,STATIC
me,129,4,STATIC
to,129,4,STATIC
run,129,4,STATIC
this,129,4,STATIC
job,129,4,STATIC
;,129,4,STATIC
however,129,4,STATIC
",",129,4,STATIC
but,129,4,STATIC
the,129,4,STATIC
start,129,4,STATIC
time,129,4,STATIC
is,129,4,STATIC
n't,129,4,STATIC
for,129,4,STATIC
4439,129,1,VARIABLE
seconds,129,4,STATIC
.,129,8,STATIC
Ignoring,129,4,STATIC
4429,129,1,VARIABLE
dnssd_clientstub,26,15,STATIC
ConnectToServer,26,15,STATIC
:,26,30,STATIC
connect,26,15,STATIC
(,26,15,STATIC
),26,15,STATIC
-,26,15,STATIC
>,26,15,STATIC
No,26,15,STATIC
of,26,15,STATIC
tries,26,15,STATIC
1,26,15,STATIC
-,4,9,STATIC
[,4,9,STATIC
NETClientConnection,4,9,STATIC
effectiveBundleID,4,9,STATIC
],4,9,STATIC
using,4,9,STATIC
process,4,9,STATIC
name,4,9,STATIC
apsd,4,9,STATIC
as,4,9,STATIC
bundle,4,18,STATIC
ID,4,18,STATIC
(,4,9,STATIC
this,4,9,STATIC
is,4,9,STATIC
expected,4,9,STATIC
for,4,9,STATIC
daemons,4,9,STATIC
without,4,9,STATIC
4187,108,1,VARIABLE
<,82,4,VARIABLE
*,82,4,VARIABLE
>,82,4,VARIABLE
scheduler_evaluate_activity,82,4,VARIABLE
told,82,4,VARIABLE
me,82,4,VARIABLE
to,82,4,VARIABLE
run,82,4,VARIABLE
this,82,4,VARIABLE
job,82,4,VARIABLE
;,82,4,VARIABLE
however,82,4,VARIABLE
",",82,12,STATIC
but,82,4,VARIABLE
the,82,4,VARIABLE
start,82,4,VARIABLE
time,82,4,VARIABLE
is,82,4,VARIABLE
n't,82,4,VARIABLE
4099,82,1,VARIABLE
seconds,82,4,VARIABLE
.,82,8,STATIC
Ignoring,82,4,VARIABLE
626625.204595,133,1,VARIABLE
3034132215,133,1,VARIABLE
528237229,133,1,VARIABLE
15323,60,1,VARIABLE
<,80,8,STATIC
*,80,8,STATIC
>,80,8,STATIC
:,80,6,STATIC
scheduler_evaluate_activity,80,6,STATIC
told,80,6,STATIC
me,80,6,STATIC
to,80,6,STATIC
run,80,6,STATIC
this,80,6,STATIC
job,80,6,STATIC
;,80,6,STATIC
however,80,6,STATIC
",",80,6,STATIC
but,80,6,STATIC
the,80,6,STATIC
start,80,6,STATIC
time,80,6,STATIC
is,80,6,STATIC
n't,80,6,STATIC
for,80,6,STATIC
427826,80,1,VARIABLE
seconds,80,6,STATIC
.,80,12,STATIC
Ignoring,80,6,STATIC
2350,42,1,VARIABLE
1542,60,1,VARIABLE
1428,145,1,VARIABLE
RTC,173,5,STATIC
:,173,7,STATIC
Maintenance,173,5,STATIC
2017/7/1,173,4,STATIC
19:52:56,173,1,STATIC
",",173,5,STATIC
sleep,173,5,STATIC
19:40:18,173,1,STATIC
channel,89,4,STATIC
changed,89,4,STATIC
to,89,4,STATIC
132,89,4,STATIC
",",89,4,STATIC
+1,89,4,STATIC
626908.045241,48,1,VARIABLE
13:20:12.402,-1,1,VARIABLE
BTLE,-1,4,VARIABLE
scanner,-1,4,VARIABLE
Powered,-1,4,VARIABLE
On,-1,4,VARIABLE
424575,80,1,VARIABLE
<,43,12,STATIC
*,43,12,STATIC
>,43,12,STATIC
(,43,15,STATIC
31588,43,1,VARIABLE
),43,15,STATIC
deny,43,11,STATIC
network-outbound,43,11,STATIC
/private/var/run/mDNSResponder,43,11,STATIC
RTC,101,11,STATIC
:,101,19,STATIC
PowerByCalendarDate,101,11,STATIC
setting,101,11,STATIC
ignored,101,11,STATIC
Location,198,17,STATIC
icon,198,17,STATIC
should,198,17,STATIC
now,198,17,STATIC
be,198,17,STATIC
in,198,17,STATIC
state,198,17,STATIC
'Active,198,17,STATIC
',198,17,STATIC
627141.702095,52,1,VARIABLE
dnssd_clientstub,115,15,STATIC
ConnectToServer,115,15,STATIC
:,115,30,STATIC
connect,115,15,STATIC
(,115,15,STATIC
),115,15,STATIC
-,115,15,STATIC
>,115,15,STATIC
No,115,15,STATIC
of,115,15,STATIC
tries,115,15,STATIC
2,115,15,STATIC
en0,25,3,STATIC
:,25,16,STATIC
802.11d,25,3,STATIC
country,25,3,STATIC
code,25,3,STATIC
set,25,3,STATIC
to,25,3,STATIC
'X3,25,3,STATIC
',25,6,STATIC
.,25,4,STATIC
en0,108,3,STATIC
channel,108,3,STATIC
changed,108,3,STATIC
6,108,3,STATIC
ARPT,82,4,VARIABLE
627305.613279,82,1,VARIABLE
wl0,82,4,VARIABLE
setup_keepalive,82,4,VARIABLE
Seq,82,4,VARIABLE
1664112163,82,1,VARIABLE
Ack,82,4,VARIABLE
818851215,82,1,VARIABLE
Win,82,4,VARIABLE
size,82,4,VARIABLE
4096,82,4,VARIABLE
627355.597577,170,1,VARIABLE
QQ,51,6,STATIC
(,51,6,STATIC
10018,51,6,STATIC
),51,6,STATIC
deny,51,6,STATIC
mach-lookup,51,6,STATIC
<,51,6,STATIC
*,51,6,STATIC
>,51,6,STATIC
21:52:00,173,1,STATIC
21:39:51,173,1,STATIC
[,32,8,STATIC
HID,32,4,STATIC
],32,8,STATIC
MT,32,4,STATIC
AppleMultitouchDevice,32,4,STATIC
:willTerminate,32,3,STATIC
entered,32,4,STATIC
[,99,9,STATIC
BluetoothHIDDeviceController,99,3,STATIC
],99,9,STATIC
EventServiceDisconnectedCallback,99,1,VARIABLE
PMStats,191,1,STATIC
:,191,1,STATIC
Hibernate,191,1,STATIC
read,191,4,STATIC
took,191,3,STATIC
197,191,1,STATIC
ms,191,3,STATIC
dnssd_clientstub,52,8,STATIC
ConnectToServer,52,8,STATIC
connect,52,8,STATIC
(,52,8,STATIC
),52,8,STATIC
failed,52,8,STATIC
path,52,8,STATIC
/var/run/mDNSResponder,52,8,STATIC
Socket:4,52,8,STATIC
Err,52,8,STATIC
-1,52,8,STATIC
Errno:1,52,8,STATIC
Operation,52,8,STATIC
not,52,8,STATIC
permitted,52,8,STATIC
pages,5,4,VARIABLE
1471315,5,1,VARIABLE
",",5,48,STATIC
wire,5,4,VARIABLE
491253,5,1,VARIABLE
act,5,4,VARIABLE
449877,5,1,VARIABLE
inact,5,4,VARIABLE
3,5,2,VARIABLE
cleaned,5,4,VARIABLE
0,5,12,STATIC
spec,5,4,VARIABLE
5,5,1,VARIABLE
zf,5,4,VARIABLE
23,5,1,VARIABLE
throt,5,4,VARIABLE
compr,5,4,VARIABLE
345876,5,1,VARIABLE
xpmapped,5,4,VARIABLE
40000,5,5,STATIC
VDCAssistant,95,1,VARIABLE
:,95,17,STATIC
Found,95,1,VARIABLE
a,95,1,VARIABLE
camera,95,1,VARIABLE
(,95,11,STATIC
0x1430000005ac8290,95,1,VARIABLE
),95,11,STATIC
",",95,1,VARIABLE
but,95,1,VARIABLE
was,95,1,VARIABLE
not,95,1,VARIABLE
able,95,1,VARIABLE
to,95,3,STATIC
start,95,1,VARIABLE
it,95,1,VARIABLE
up,95,1,VARIABLE
0x0,95,1,VARIABLE
--,95,1,VARIABLE
os/kern,95,1,VARIABLE
successful,95,1,VARIABLE
handle_will_sleep_auth_and_shield_windows,147,1,VARIABLE
:,147,34,STATIC
Reordering,147,1,VARIABLE
authw,147,4,STATIC
0x7fa823a04400,147,1,VARIABLE
(,147,16,STATIC
2004,147,1,VARIABLE
),147,16,STATIC
lock,147,1,VARIABLE
state,147,1,VARIABLE
3,147,3,VARIABLE
button,190,6,STATIC
report,190,6,STATIC
:,190,6,STATIC
0x8002bdf,190,6,STATIC
2017-07-01,163,1,VARIABLE
19:46:26.133,163,1,VARIABLE
GoogleSoftwareUpdateAgent,163,4,STATIC
[,163,14,STATIC
31702/0x7000002a0000,163,1,VARIABLE
],163,14,STATIC
lvl=2,163,4,STATIC
-,163,6,STATIC
KSAgentApp,163,4,STATIC
(,163,8,STATIC
KeystoneThread,163,2,VARIABLE
),163,8,STATIC
runKeystonesInThreadWithArg,163,2,VARIABLE
:,163,13,STATIC
Checking,163,3,STATIC
with,163,2,VARIABLE
local,163,1,VARIABLE
engine,163,2,VARIABLE
<,163,29,STATIC
KSUpdateEngine:0x100259c60,163,2,VARIABLE
ticketStore=,163,3,STATIC
KSPersistentTicketStore:0x100253770,163,1,VARIABLE
store=,163,3,STATIC
KSKeyedPersistentStore:0x100254d10,163,1,VARIABLE
path=,163,9,STATIC
'',163,19,STATIC
/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore,163,3,STATIC
lockFile=,163,3,STATIC
KSLockFile:0x100254d80,163,1,VARIABLE
/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/,163,3,STATIC
*,163,8,STATIC
>,163,29,STATIC
locked=NO,163,3,STATIC
processor=,163,3,STATIC
KSActionProcessor:0x100259e70,163,1,VARIABLE
delegate=,163,6,STATIC
isProcessing=NO,163,3,STATIC
actionsCompleted=0,163,3,STATIC
progress=0.00,163,3,STATIC
errors=0,163,6,STATIC
currentActionErrors=0,163,3,STATIC
events=0,163,3,STATIC
currentActionEvents=0,163,3,STATIC
actionQueue=,163,3,STATIC
null,163,3,STATIC
serverInfoStore=,163,3,STATIC
KSServerPrivateInfoStore:0x1002594d0,163,1,VARIABLE
/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers,163,3,STATIC
-,0,7,STATIC
[,0,7,STATIC
ISGenerateImageOp,0,7,STATIC
generateImageWithCompletion,0,7,STATIC
:,0,14,STATIC
],0,7,STATIC
Failed,0,7,STATIC
to,0,7,STATIC
composit,0,7,STATIC
image,0,7,STATIC
for,0,7,STATIC
descriptor,0,7,STATIC
<,0,7,STATIC
ISBindingImageDescriptor,0,7,STATIC
0x7f9950712080,0,7,STATIC
>,0,7,STATIC
.,0,7,STATIC
-,22,6,STATIC
[,22,6,STATIC
ISGenerateImageOp,22,3,STATIC
generateImageWithCompletion,22,3,STATIC
:,22,6,STATIC
],22,6,STATIC
Failed,22,3,STATIC
to,22,3,STATIC
composit,22,3,STATIC
image,22,3,STATIC
for,22,5,STATIC
descriptor,22,3,STATIC
<,22,9,STATIC
ISBindingImageDescriptor,22,3,STATIC
0x7f9951303310,22,1,STATIC
>,22,9,STATIC
.,22,7,STATIC
Error,14,13,STATIC
returned,14,13,STATIC
from,14,13,STATIC
iconservicesagent,14,13,STATIC
:,14,25,STATIC
(,14,18,STATIC
null,14,13,STATIC
),14,18,STATIC
tcp_connection_tls_session_error_callback_imp,86,5,STATIC
1977,86,1,STATIC
__tcp_connection_tls_session_callback_write_block_invoke.434,86,4,STATIC
error,86,5,STATIC
22,86,4,STATIC
-,91,3,STATIC
[,91,3,STATIC
ISGenerateImageOp,91,3,STATIC
generateImageWithCompletion,91,3,STATIC
:,91,27,STATIC
],91,3,STATIC
Failed,91,3,STATIC
to,91,3,STATIC
composit,91,3,STATIC
image,91,3,STATIC
for,91,3,STATIC
descriptor,91,3,STATIC
<,91,5,STATIC
ISBindingImageDescriptor,91,3,STATIC
0x7f9951105bf0,91,1,VARIABLE
>,91,5,STATIC
.,91,3,STATIC
SecOSStatusWith,77,5,STATIC
error,77,10,STATIC
:,77,22,STATIC
[,77,9,STATIC
-50,77,5,STATIC
],77,9,STATIC
Error,77,5,STATIC
Domain=NSOSStatusErrorDomain,77,5,STATIC
Code=-50,77,5,STATIC
``,77,5,STATIC
query,77,5,STATIC
missing,77,10,STATIC
class,77,10,STATIC
name,77,10,STATIC
'',77,5,STATIC
(,77,5,STATIC
paramErr,77,5,STATIC
in,77,5,STATIC
user,77,5,STATIC
parameter,77,5,STATIC
list,77,5,STATIC
),77,5,STATIC
UserInfo=,77,5,STATIC
{,77,5,STATIC
NSDescription=query,77,5,STATIC
},77,5,STATIC
send_datagram_available_ping,67,12,STATIC
:,67,12,STATIC
pid,67,12,STATIC
445,67,12,STATIC
failed,67,12,STATIC
to,67,12,STATIC
act,67,12,STATIC
on,67,12,STATIC
a,67,12,STATIC
ping,67,12,STATIC
it,67,12,STATIC
dequeued,67,12,STATIC
before,67,12,STATIC
timing,67,12,STATIC
out,67,12,STATIC
.,67,12,STATIC
WARNING,-1,1,VARIABLE
Type1,-1,1,VARIABLE
font,-1,1,VARIABLE
data,-1,1,VARIABLE
is,-1,5,VARIABLE
n't,-1,4,VARIABLE
the,-1,5,VARIABLE
correct,-1,1,VARIABLE
format,-1,1,VARIABLE
required,-1,1,VARIABLE
Adobe,-1,1,VARIABLE
Type,-1,1,VARIABLE
1,-1,6,VARIABLE
Font,-1,1,VARIABLE
Format,-1,1,VARIABLE
specification,-1,1,VARIABLE
.,-1,27,STATIC
send_datagram_available_ping,68,9,STATIC
:,68,9,STATIC
pid,68,9,STATIC
445,68,9,STATIC
failed,68,9,STATIC
to,68,9,STATIC
act,68,9,STATIC
on,68,9,STATIC
a,68,9,STATIC
ping,68,9,STATIC
it,68,9,STATIC
dequeued,68,9,STATIC
before,68,9,STATIC
timing,68,9,STATIC
out,68,9,STATIC
.,68,9,STATIC
0x7f9951005740,22,1,STATIC
-,149,3,STATIC
[,149,3,STATIC
ISGenerateImageOp,149,3,STATIC
generateImageWithCompletion,149,3,STATIC
:,149,15,STATIC
],149,3,STATIC
Failed,149,3,STATIC
to,149,3,STATIC
composit,149,3,STATIC
image,149,3,STATIC
for,149,3,STATIC
descriptor,149,3,STATIC
<,149,6,STATIC
ISBindingImageDescriptor,149,3,STATIC
0x7f9950606790,149,3,STATIC
>,149,6,STATIC
.,149,3,STATIC
//DB05755C-483D-44B7-B93B-ED06E57FF420/CalDAVPrincipal/p11,60,1,VARIABLE
59,60,1,VARIABLE
device_generate_desktop_screenshot,146,3,STATIC
authw,146,3,STATIC
0x7fa823c89600,146,2,STATIC
(,146,6,STATIC
2000,146,3,STATIC
),146,6,STATIC
",",146,3,STATIC
shield,146,3,STATIC
0x7fa8258cac00,146,2,STATIC
2001,146,3,STATIC
[,37,15,STATIC
<,37,5,STATIC
*,37,5,STATIC
>,37,5,STATIC
],37,15,STATIC
Refusing,37,5,STATIC
to,37,10,STATIC
parse,37,5,STATIC
response,37,5,STATIC
PROPPATCH,37,5,STATIC
because,37,5,STATIC
of,37,5,STATIC
content-type,37,5,STATIC
:,37,5,STATIC
text/html,37,5,STATIC
;,37,5,STATIC
charset=UTF-8,37,5,STATIC
.,37,5,STATIC
NETWORK,182,2,STATIC
requery,182,2,STATIC
",",182,20,STATIC
0,182,10,STATIC
250,182,2,STATIC
items,182,2,STATIC
fQueryRetries,182,2,STATIC
fLastRetryTimestamp,182,2,STATIC
520665636.6,182,1,VARIABLE
640362.070027,-1,1,VARIABLE
2000710617,-1,1,VARIABLE
2120985509,-1,1,VARIABLE
Previous,6,15,STATIC
sleep,6,15,STATIC
cause,6,15,STATIC
:,6,15,STATIC
5,6,15,STATIC
Wake,93,6,STATIC
reason,93,6,STATIC
:,93,6,STATIC
RTC,93,5,STATIC
(,93,6,STATIC
Alarm,93,5,STATIC
),93,6,STATIC
AppleThunderboltNHIType2,50,4,STATIC
:prePCIWake,50,4,STATIC
-,50,8,STATIC
power,50,4,STATIC
up,50,4,STATIC
complete,50,4,STATIC
took,50,4,STATIC
2,50,4,STATIC
us,50,4,STATIC
02:18:39.156,105,1,VARIABLE
:,105,9,STATIC
BTLE,105,2,STATIC
scanner,105,2,STATIC
Powered,105,2,STATIC
On,105,2,STATIC
network,175,2,VARIABLE
changed,175,2,VARIABLE
:,175,24,STATIC
v4,175,2,VARIABLE
(,175,8,STATIC
en0-,175,2,VARIABLE
<,175,4,STATIC
*,175,4,STATIC
>,175,4,STATIC
),175,8,STATIC
v6,175,2,VARIABLE
en0:2607,175,2,VARIABLE
f140:6000:8,175,2,VARIABLE
c6b3:1ff,175,2,VARIABLE
fecd:467f,175,2,VARIABLE
DNS,175,2,VARIABLE
!,175,2,VARIABLE
Proxy,175,2,VARIABLE
SMB,175,2,VARIABLE
dnssd_clientstub,27,5,STATIC
ConnectToServer,27,5,STATIC
:,27,15,STATIC
connect,27,5,STATIC
(,27,5,STATIC
),27,5,STATIC
failed,27,5,STATIC
path,27,5,STATIC
/var/run/mDNSResponder,27,5,STATIC
Socket:4,27,5,STATIC
Err,27,5,STATIC
-1,27,5,STATIC
Errno:1,27,5,STATIC
Operation,27,5,STATIC
not,27,5,STATIC
permitted,27,5,STATIC
hibernate_page_list_setall,32,4,STATIC
found,32,2,STATIC
pageCount,32,2,STATIC
448015,32,1,VARIABLE
[,154,7,STATIC
HID,154,2,STATIC
],154,7,STATIC
ATC,154,2,STATIC
Error,154,2,STATIC
AppleDeviceManagementHIDEventService,154,2,STATIC
:,154,17,STATIC
:start,154,2,STATIC
Could,154,2,STATIC
not,154,2,STATIC
make,154,2,STATIC
a,154,2,STATIC
string,154,2,STATIC
from,154,2,STATIC
out,154,2,STATIC
connection,154,2,STATIC
notification,154,4,STATIC
key,154,2,STATIC
en0,168,2,STATIC
:,168,10,STATIC
BSSID,168,2,STATIC
changed,168,2,STATIC
to,168,2,STATIC
5c:50:15:4c:18:1c,168,1,STATIC
IOBluetoothFamily,99,1,VARIABLE
staticBluetoothTransportShowsUp,99,1,VARIABLE
--,99,8,STATIC
Received,99,1,VARIABLE
Bluetooth,99,1,VARIABLE
Controller,99,1,VARIABLE
register,99,1,VARIABLE
service,99,1,VARIABLE
notification,99,1,VARIABLE
0x7000,99,1,VARIABLE
nw_nat64_post_new_ifstate,84,8,STATIC
successfully,84,8,STATIC
changed,84,8,STATIC
NAT64,84,8,STATIC
ifstate,84,8,STATIC
from,84,8,STATIC
0x8000000000000000,84,8,STATIC
to,84,8,STATIC
0x4,84,8,STATIC
FA||Url||taskID,172,7,STATIC
[,172,7,STATIC
2019353117,172,1,STATIC
],172,7,STATIC
dealloc,172,7,STATIC
520708962.7,182,1,VARIABLE
2017-07-02,163,1,VARIABLE
10:40:07.676,163,1,VARIABLE
32012/0x7000002a0000,163,1,VARIABLE
updateProductWithProductID,163,1,VARIABLE
usingEngine,163,1,VARIABLE
for,163,4,STATIC
updates,163,1,VARIABLE
``,163,1,VARIABLE
using,163,1,VARIABLE
KSUpdateEngine:0x100313e70,163,2,VARIABLE
KSPersistentTicketStore:0x100332a60,163,1,VARIABLE
KSKeyedPersistentStore:0x100315fa0,163,1,VARIABLE
KSLockFile:0x1003176d0,163,1,VARIABLE
KSActionProcessor:0x1003143e0,163,1,VARIABLE
KSServerPrivateInfoStore:0x100311a10,163,1,VARIABLE
2017/07/02,128,1,VARIABLE
11:38:49.414,128,1,VARIABLE
|,128,16,STATIC
I,128,4,STATIC
VoipWrapper,128,4,STATIC
DAVEngineImpl.cpp:1400,128,4,STATIC
:,128,5,STATIC
Close,128,4,STATIC
close,128,4,STATIC
video,128,4,STATIC
chat,128,4,STATIC
.,128,8,STATIC
llFriendUIN,128,4,STATIC
=,128,4,STATIC
*,128,6,STATIC
2341,128,1,VARIABLE
ARPT,5,4,VARIABLE
:,5,28,STATIC
645791.413780,5,1,VARIABLE
IOPMPowerSource,5,4,VARIABLE
Information,5,4,VARIABLE
onSleep,5,4,VARIABLE
SleepType,5,4,VARIABLE
Normal,5,4,VARIABLE
Sleep,5,4,VARIABLE
'ExternalConnected,5,4,VARIABLE
',5,8,STATIC
No,5,4,VARIABLE
'TimeRemaining,5,4,VARIABLE
156,5,1,VARIABLE
ARPT,171,10,STATIC
:,171,20,STATIC
645795.024045,171,1,VARIABLE
Wake,171,10,STATIC
Reason,171,5,STATIC
on,171,5,STATIC
Scan,171,5,STATIC
offload,171,5,STATIC
28003,184,1,VARIABLE
Bluetooth,3,11,STATIC
--,3,11,STATIC
LE,3,22,STATIC
is,3,11,STATIC
supported,3,11,STATIC
-,3,11,STATIC
Disable,3,11,STATIC
meta,3,11,STATIC
event,3,11,STATIC
12:15:23.005,158,1,STATIC
:,158,7,STATIC
Discoverable,158,2,STATIC
mode,158,2,STATIC
changed,158,2,STATIC
to,158,7,STATIC
Off,158,2,STATIC
tcp_connection_handle_connect_conditions_bad,15,7,STATIC
19617,15,1,STATIC
failed,15,8,STATIC
:,15,10,STATIC
3,15,8,STATIC
-,15,7,STATIC
No,15,7,STATIC
network,15,7,STATIC
route,15,7,STATIC
Captive,9,7,STATIC
CNPluginHandler,9,7,STATIC
en0,9,7,STATIC
Authenticated,9,7,STATIC
ARPT,166,4,STATIC
:,166,28,STATIC
645957.322055,166,1,VARIABLE
wl0,166,4,STATIC
setup_keepalive,166,4,STATIC
Local,166,4,STATIC
IP,166,4,STATIC
<,166,12,STATIC
*,166,12,STATIC
>,166,12,STATIC
AppleThunderboltNHIType2,112,3,STATIC
:waitForOk2Go2Sx,112,3,STATIC
-,112,3,STATIC
retries,112,3,STATIC
=,112,3,STATIC
4,112,2,STATIC
646193.687729,-1,1,VARIABLE
AirPort_Brcm43xx,-1,4,VARIABLE
:platformWoWEnable,-1,4,VARIABLE
WWEN,-1,4,VARIABLE
disable,-1,4,VARIABLE
TBT,5,4,VARIABLE
W,5,4,VARIABLE
(,5,4,VARIABLE
2,5,5,STATIC
),5,4,VARIABLE
0x0040,5,4,VARIABLE
[,5,4,VARIABLE
x,5,4,VARIABLE
],5,4,VARIABLE
network,135,3,STATIC
changed,135,3,STATIC
DNS,135,3,STATIC
*,135,3,STATIC
Proxy,135,3,STATIC
646292.668059,97,1,VARIABLE
awdl0,135,1,VARIABLE
D8A5:90FF,135,1,VARIABLE
FEF5:7FFF,135,1,VARIABLE
AppleThunderboltNHIType2,13,11,STATIC
:,13,13,STATIC
:prePCIWake,13,11,STATIC
-,13,22,STATIC
power,13,11,STATIC
up,13,11,STATIC
complete,13,11,STATIC
took,13,11,STATIC
1,13,10,STATIC
us,13,11,STATIC
ARPT,197,5,STATIC
:,197,20,STATIC
646509.760609,197,1,VARIABLE
AirPort_Brcm43xx,197,5,STATIC
:platformWoWEnable,197,5,STATIC
WWEN,197,5,STATIC
[,197,5,STATIC
enable,197,5,STATIC
],197,5,STATIC
tcp_connection_tls_session_error_callback_imp,117,4,STATIC
2044,117,1,STATIC
__tcp_connection_tls_session_callback_write_block_invoke.434,117,4,STATIC
error,117,4,STATIC
22,117,4,STATIC
send_datagram_available_ping,-1,5,VARIABLE
pid,-1,5,VARIABLE
445,-1,5,VARIABLE
failed,-1,5,VARIABLE
to,-1,12,STATIC
act,-1,5,VARIABLE
on,-1,7,VARIABLE
a,-1,5,VARIABLE
ping,-1,5,VARIABLE
it,-1,5,VARIABLE
dequeued,-1,5,VARIABLE
before,-1,5,VARIABLE
timing,-1,5,VARIABLE
out,-1,9,VARIABLE
ASL,46,9,STATIC
Sender,46,9,STATIC
Statistics,46,9,STATIC
AppleCamIn,94,3,STATIC
:systemWakeCall,94,3,STATIC
-,94,3,STATIC
messageType,94,3,STATIC
=,94,3,STATIC
0xE0000300,94,2,VARIABLE
2017-07-02,111,2,STATIC
15:46:40.516,111,1,VARIABLE
GoogleSoftwareUpdateAgent,111,5,STATIC
[,111,15,STATIC
32432/0x7000002a0000,111,2,STATIC
],111,15,STATIC
lvl=2,111,5,STATIC
-,111,5,STATIC
KSOutOfProcessFetcher,111,2,STATIC
(,111,1,VARIABLE
PrivateMethods,111,1,VARIABLE
),111,1,VARIABLE
launchedHelperTaskForToolPath,111,1,VARIABLE
:,111,7,STATIC
error,111,1,VARIABLE
launched,111,1,VARIABLE
'/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch,111,1,VARIABLE
',111,5,STATIC
with,111,1,VARIABLE
process,111,1,VARIABLE
id,111,1,VARIABLE
32433,111,1,VARIABLE
15:46:40.697,111,1,VARIABLE
KSUpdateEngine,111,4,STATIC
updateAllExceptProduct,111,2,STATIC
updating,111,2,STATIC
all,111,2,STATIC
installed,111,2,STATIC
products,111,2,STATIC
",",111,2,STATIC
except,111,2,STATIC
<,111,2,STATIC
*,111,2,STATIC
>,111,2,STATIC
.,111,4,STATIC
2017-07-02,14,1,VARIABLE
15:46:41.445,14,1,VARIABLE
ksfetch,14,5,STATIC
[,14,6,STATIC
32435/0x7fff79824000,14,1,VARIABLE
],14,6,STATIC
lvl=2,14,3,STATIC
main,14,3,STATIC
fetching,14,2,VARIABLE
URL,14,5,STATIC
<,14,6,STATIC
NSMutableURLRequest,14,3,STATIC
0x1005110b0,14,1,VARIABLE
>,14,6,STATIC
{,14,3,STATIC
https,14,3,STATIC
//,14,3,STATIC
*,14,3,STATIC
/service/update2,14,3,STATIC
?,14,3,STATIC
cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4,14,1,VARIABLE
&,14,3,STATIC
cup2key=7:1132320327,14,1,VARIABLE
},14,3,STATIC
to,14,2,VARIABLE
folder,14,2,VARIABLE
/tmp/KSOutOfProcessFetcher.YH2CjY1tnx/download,14,1,VARIABLE
2019353182,108,1,VARIABLE
Path,34,15,STATIC
not,34,30,STATIC
allowed,34,15,STATIC
in,34,30,STATIC
target,34,15,STATIC
domain,34,15,STATIC
:,34,30,STATIC
type,34,15,STATIC
=,34,60,STATIC
pid,34,15,STATIC
",",34,30,STATIC
path,34,15,STATIC
/System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/,34,15,STATIC
<,34,45,STATIC
*,34,45,STATIC
>,34,45,STATIC
/Contents/MacOS/,34,15,STATIC
error,34,15,STATIC
147,34,15,STATIC
The,34,15,STATIC
specified,34,15,STATIC
service,34,15,STATIC
did,34,15,STATIC
ship,34,15,STATIC
the,34,15,STATIC
requestor,34,15,STATIC
's,34,15,STATIC
bundle,34,15,STATIC
origin,34,15,STATIC
/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/,34,15,STATIC
2068,117,1,STATIC
[,47,4,STATIC
17:13:46.390,47,1,VARIABLE
],47,4,STATIC
<,47,16,STATIC
IQ-CA,47,4,STATIC
>,47,16,STATIC
piqca_setUsePreQueue,47,4,STATIC
:,47,26,STATIC
(,47,4,STATIC
0x7f92413e3000,47,1,VARIABLE
),47,4,STATIC
rejecting,47,4,STATIC
report,47,4,STATIC
of,47,4,STATIC
layer,47,4,STATIC
being,47,4,STATIC
serviced,47,4,STATIC
-,47,9,STATIC
IQ,47,4,STATIC
has,47,4,STATIC
not,47,4,STATIC
yet,47,4,STATIC
begun,47,4,STATIC
to,47,6,STATIC
update,47,4,STATIC
[,177,3,STATIC
17:19:15.148,177,1,VARIABLE
],177,3,STATIC
itemasync_SetProperty,177,3,STATIC
signalled,177,3,STATIC
err=-12785,177,3,STATIC
(,177,6,STATIC
kFigBaseObjectError_Invalidated,177,3,STATIC
),177,6,STATIC
invalidated,177,3,STATIC
at,177,3,STATIC
/Library/Caches/,177,3,STATIC
<,177,6,STATIC
*,177,6,STATIC
>,177,6,STATIC
/Sources/CoreMedia/,177,3,STATIC
/Prototypes/Player/FigPlayer_Async.c,177,3,STATIC
line,177,3,STATIC
2306,177,3,STATIC
KeychainGetICDPStatus,64,14,STATIC
